title,PublishedAt,ID,URL,views,likes,comments,Last_updated_Date
"[𝗢.𝗧.𝗥] '8회의 약속? 약속의 8회?' 어쨌든 만든 주인공 인터뷰(박성한, 최원준, 박영현)| 2024 WBSC 프리미어12 야구 국가대표 크보직캠",2024-11-17 01:43,aSx_Ie97Vhs,https://www.youtube.com/watch?v=aSx_Ie97Vhs,43047,1460,183,2024-11-18
[𝗢.𝗧.𝗥] 쿠바전 우리 선수들의 덕아웃 반응은? | 2024 WBSC 프리미어12 야구 국가대표 덕아웃 직캠,2024-11-15 18:02,AcexA0DeGGI,https://www.youtube.com/watch?v=AcexA0DeGGI,39071,1135,133,2024-11-18
대만팬이 본 한국 야구는?(11.14),2024-11-15 14:50,oOgOWh-bsVg,https://www.youtube.com/watch?v=oOgOWh-bsVg,3599,127,3,2024-11-18
허구연 총재를 왜 갑자기?😮(11.14),2024-11-15 14:22,QNvN5OEZoHo,https://www.youtube.com/watch?v=QNvN5OEZoHo,4552,102,7,2024-11-18
대만에서 기아타이거즈를 찾다.,2024-11-15 14:02,zh5Cq4o9trY,https://www.youtube.com/watch?v=zh5Cq4o9trY,13941,496,11,2024-11-18
대만에서 삼성라이온즈를 찾다.,2024-11-15 14:01,vH4XPNIxZvU,https://www.youtube.com/watch?v=vH4XPNIxZvU,15405,528,47,2024-11-18
[𝗢.𝗧.𝗥] 대한민국 야구 대표팀 첫 승리의 순간! (Feat. 도규 선수 인터뷰) | 2024 WBSC 프리미어12 야구 국가대표 크보직캠,2024-11-15 01:31,6wgc4jkyJXo,https://www.youtube.com/watch?v=6wgc4jkyJXo,40562,1245,175,2024-11-18
"[𝗢.𝗧.𝗥] 수능 D-1, 팀 코리아가 여러분을 응원합니다✉ | 2024 WBSC 프리미어12 야구 국가대표 수능 응원 메시지",2024-11-13 18:47,gomyJ5ODV-M,https://www.youtube.com/watch?v=gomyJ5ODV-M,10358,319,86,2024-11-18
[𝗢.𝗧.𝗥] 타이베이돔 첫인상부터 기자회견까지! 바쁘다 바빠 D-1! | 2024 WBSC 프리미어12 야구 국가대표 크보직캠,2024-11-13 13:45,Qb_qJZeO3aA,https://www.youtube.com/watch?v=Qb_qJZeO3aA,115321,1836,251,2024-11-18
"수능 D-1, 팀 코리아의 응원 2편✉(11.13)",2024-11-13 13:27,fSy1MstJm1Q,https://www.youtube.com/watch?v=fSy1MstJm1Q,4500,333,8,2024-11-18
"수능 D-1, 팀 코리아의 응원 1편✉(11.13)",2024-11-13 13:17,LPpvWxJ4-qE,https://www.youtube.com/watch?v=LPpvWxJ4-qE,7581,661,8,2024-11-18
팀 코리아 응원 준비 완료🎉(11.13),2024-11-13 11:39,gCy4V5F8Lb0,https://www.youtube.com/watch?v=gCy4V5F8Lb0,9959,239,5,2024-11-18
[무해설] 대만 타이베이돔 혼자 걷는 느낌은? | 2024 WBSC 프리미어12 야구 국가대표 크보직캠,2024-11-13 01:06,UCNEu5d4odI,https://www.youtube.com/watch?v=UCNEu5d4odI,141727,2052,485,2024-11-18
팀코리아 야구대표팀🇰🇷🔥 #야구,2024-11-12 22:42,ic_8v3mKR6g,https://www.youtube.com/watch?v=ic_8v3mKR6g,14018,662,25,2024-11-18
이제 다 '우리팀' 투수야!!! | 2024 WBSC 프리미어12 야구 국가대표 투수,2024-11-12 20:35,HT0emPa1FAg,https://www.youtube.com/watch?v=HT0emPa1FAg,25895,1058,149,2024-11-18
이제 다 '우리팀' 야수야!!! | 2024 WBSC 프리미어12 야구 국가대표 야수,2024-11-12 20:35,dvWgmy0bgKw,https://www.youtube.com/watch?v=dvWgmy0bgKw,34659,1199,172,2024-11-18
[𝗢.𝗧.𝗥] 대만에서도 아파트~ 아파트?! 팀코리아 마지막 평가전 | 2024 WBSC 프리미어12 야구 국가대표 크보직캠,2024-11-12 18:40,8pd8rCXXvm4,https://www.youtube.com/watch?v=8pd8rCXXvm4,80906,2013,209,2024-11-18
호랑이들의 우승 기운!🔥💪(11.09),2024-11-11 17:49,sKCT1PdCU8s,https://www.youtube.com/watch?v=sKCT1PdCU8s,6412,225,9,2024-11-18
아기곰의 최애 선배는?🐻(11.10),2024-11-11 17:41,j4XpedH1CT8,https://www.youtube.com/watch?v=j4XpedH1CT8,18364,660,18,2024-11-18
김형준의 아파트😁,2024-11-11 15:20,PNoBbKEQKWY,https://www.youtube.com/watch?v=PNoBbKEQKWY,6581,408,16,2024-11-18
