team,month,article_count,audience_counts_by_teams,ranking,web_search_count,youtube_views,youtube_likes,youtube_comments
HT,1,455,0,0,68,2699755.0,65531.0,2634.0
HT,2,436,0,0,72,4244587.0,80762.0,4281.0
HT,3,853,36500,2,146,6368333.0,145248.0,6574.0
HT,4,1331,171086,1,204,4572026.0,125293.0,8562.0
HT,5,1063,264213,1,184,3781474.0,110390.0,7143.0
HT,6,1339,220945,1,252,4179406.0,129819.0,8439.0
HT,7,1568,159419,1,211,8554414.0,223124.0,14002.0
HT,8,1690,160983,1,203,7052341.0,216687.0,19422.0
HT,9,1832,246103,1,201,6616739.0,210792.0,15584.0
HT,10,1769,0,0,217,7025876.0,236612.0,18395.0
HT,11,626,0,0,65,1805979.0,61027.0,4237.0
HT,12,0,0,0,0,0.0,0.0,0.0
SS,1,361,0,0,242,366582.0,18589.0,1253.0
SS,2,170,0,0,198,6151693.0,143094.0,7310.0
SS,3,596,68365,8,335,2720257.0,87618.0,5201.0
SS,4,690,129053,3,258,4013929.0,157969.0,10583.0
SS,5,876,254785,4,260,4060120.0,149483.0,11081.0
SS,6,992,192050,3,331,4468412.0,188980.0,13813.0
SS,7,905,216372,3,285,5257795.0,207065.0,12821.0
SS,8,1083,294397,2,273,7490414.0,314989.0,23010.0
SS,9,890,192000,2,379,5627254.0,233321.0,13862.0
SS,10,3020,0,0,354,3082711.0,136695.0,12393.0
SS,11,334,0,0,273,1461101.0,53122.0,4397.0
SS,12,0,0,0,0,0.0,0.0,0.0
LG,1,434,0,0,232,859633.0,33486.0,2437.0
LG,2,218,0,0,229,2811484.0,98393.0,5570.0
LG,3,649,93190,5,392,2527197.0,101439.0,6770.0
LG,4,903,210975,5,327,3745088.0,146167.0,8301.0
LG,5,855,185446,2,301,4009953.0,169191.0,11392.0
LG,6,902,235927,2,396,4323203.0,184090.0,11911.0
LG,7,1006,198377,2,330,4910133.0,192563.0,12595.0
LG,8,867,223768,3,333,3997140.0,179243.0,11148.0
LG,9,873,249816,3,428,4309608.0,201407.0,10940.0
LG,10,2148,0,0,347,2364276.0,108932.0,8598.0
LG,11,270,0,0,259,1251064.0,44655.0,4043.0
LG,12,0,0,0,0,0.0,0.0,0.0
OB,1,162,0,0,122,1787933.0,50123.0,3534.0
OB,2,221,0,0,120,2479264.0,59808.0,4332.0
OB,3,468,71250,6,336,2297894.0,55296.0,6508.0
OB,4,682,206011,6,387,1965978.0,69907.0,6528.0
OB,5,1028,241367,3,411,3421161.0,123546.0,9285.0
OB,6,916,262399,4,526,2810779.0,110222.0,7612.0
OB,7,1084,144202,5,441,9317671.0,335086.0,13382.0
OB,8,722,218092,4,361,3500811.0,124850.0,10696.0
OB,9,623,158447,4,565,4901428.0,201291.0,13339.0
OB,10,452,0,0,179,1056093.0,41555.0,7543.0
OB,11,357,0,0,177,1507285.0,40601.0,7358.0
OB,12,0,0,0,0,0.0,0.0,0.0
KT,1,161,0,0,225,444355.0,12638.0,1150.0
KT,2,166,0,0,220,966852.0,21114.0,2402.0
KT,3,356,51353,10,344,627289.0,20762.0,2077.0
KT,4,507,95313,9,275,1220407.0,38403.0,3529.0
KT,5,668,117392,7,256,1286343.0,48583.0,4984.0
KT,6,598,209449,9,378,1252058.0,40136.0,4541.0
KT,7,564,77813,6,275,3980342.0,118925.0,6246.0
KT,8,394,129725,5,266,952185.0,40771.0,3601.0
KT,9,438,162897,5,424,822887.0,34751.0,3848.0
KT,10,1427,0,0,299,835174.0,37278.0,3969.0
KT,11,399,0,0,252,746442.0,23817.0,4292.0
KT,12,0,0,0,0,0.0,0.0,0.0
SK,1,189,0,0,137,878118.0,23044.0,1766.0
SK,2,109,0,0,129,2589724.0,70275.0,3261.0
SK,3,290,79301,4,415,2962154.0,85543.0,6267.0
SK,4,696,202861,4,409,3530089.0,139834.0,10847.0
SK,5,501,156084,5,391,2755171.0,94826.0,7257.0
SK,6,538,179538,5,470,3871136.0,152570.0,10839.0
SK,7,401,155544,4,348,6041750.0,225958.0,14147.0
SK,8,252,195487,6,338,2470389.0,94141.0,6887.0
SK,9,397,174958,6,505,3429898.0,150109.0,10745.0
SK,10,118,0,0,179,856685.0,29213.0,2299.0
SK,11,175,0,0,187,925854.0,39626.0,3469.0
SK,12,0,0,0,0,0.0,0.0,0.0
LT,1,175,0,0,187,1660092.0,38624.0,3758.0
LT,2,370,0,0,212,4102215.0,82233.0,9900.0
LT,3,687,65886,9,335,5147156.0,98296.0,8771.0
LT,4,961,162748,10,329,6038944.0,157811.0,13542.0
LT,5,822,236709,10,303,7089537.0,223337.0,16726.0
LT,6,1099,209559,7,397,8175160.0,284058.0,19810.0
LT,7,750,109330,9,326,3612757.0,119092.0,11574.0
LT,8,782,170391,8,285,7556728.0,234210.0,15346.0
LT,9,764,248217,7,370,3471859.0,136186.0,12798.0
LT,10,276,0,0,224,2943813.0,88097.0,10107.0
LT,11,263,0,0,236,2829526.0,91271.0,14735.0
LT,12,0,0,0,0,0.0,0.0,0.0
HH,1,172,0,0,118,2553723.0,49220.0,4691.0
HH,2,487,0,0,139,12672733.0,231862.0,20603.0
HH,3,1496,36000,1,410,19541553.0,372773.0,32240.0
HH,4,1434,144000,8,361,10117491.0,195039.0,18885.0
