year_month,team,web_search_count
2023-12,HT,17
2024-01,HT,68
2024-02,HT,72
2024-03,HT,146
2024-04,HT,204
2024-05,HT,184
2024-06,HT,252
2024-07,HT,211
2024-08,HT,203
2024-09,HT,201
2024-10,HT,217
2024-11,HT,65
2023-12,SS,58
2024-01,SS,242
2024-02,SS,198
2024-03,SS,335
2024-04,SS,258
2024-05,SS,260
2024-06,SS,331
2024-07,SS,285
2024-08,SS,273
2024-09,SS,379
2024-10,SS,354
2024-11,SS,273
2023-12,LG,57
2024-01,LG,232
2024-02,LG,229
2024-03,LG,392
2024-04,LG,327
2024-05,LG,301
2024-06,LG,396
2024-07,LG,330
2024-08,LG,333
2024-09,LG,428
2024-10,LG,347
2024-11,LG,259
2023-12,OB,31
2024-01,OB,122
2024-02,OB,120
2024-03,OB,336
2024-04,OB,387
2024-05,OB,411
2024-06,OB,526
2024-07,OB,441
2024-08,OB,361
2024-09,OB,565
2024-10,OB,179
2024-11,OB,177
2023-12,KT,55
2024-01,KT,225
2024-02,KT,220
2024-03,KT,344
2024-04,KT,275
2024-05,KT,256
2024-06,KT,378
2024-07,KT,275
2024-08,KT,266
2024-09,KT,424
2024-10,KT,299
2024-11,KT,252
2023-12,SK,29
2024-01,SK,137
2024-02,SK,129
2024-03,SK,415
2024-04,SK,409
2024-05,SK,391
2024-06,SK,470
2024-07,SK,348
2024-08,SK,338
2024-09,SK,505
2024-10,SK,179
2024-11,SK,187
2023-12,LT,50
2024-01,LT,187
2024-02,LT,212
2024-03,LT,335
2024-04,LT,329
2024-05,LT,303
2024-06,LT,397
2024-07,LT,326
2024-08,LT,285
2024-09,LT,370
2024-10,LT,224
2024-11,LT,236
2023-12,HH,26
2024-01,HH,118
2024-02,HH,139
2024-03,HH,410
2024-04,HH,361
2024-05,HH,304
2024-06,HH,380
2024-07,HH,284
2024-08,HH,298
2024-09,HH,405
2024-10,HH,166
2024-11,HH,220
2023-12,NC,59
2024-01,NC,246
2024-02,NC,241
2024-03,NC,358
2024-04,NC,367
2024-05,NC,397
2024-06,NC,443
2024-07,NC,365
2024-08,NC,403
2024-09,NC,301
2024-10,NC,123
2024-11,NC,124
2023-12,WO,48
2024-01,WO,204
2024-02,WO,207
2024-03,WO,461
2024-04,WO,446
2024-05,WO,372
2024-06,WO,555
2024-07,WO,448
2024-08,WO,431
2024-09,WO,465
2024-10,WO,240
2024-11,WO,277
