title,PublishedAt,ID,views,likes,comments,Last_updated_Date
정성을 중요시 여기거덩요✨ 25신인들의 흑백 루키 요리사 [위즈티비],2024-11-26T09:00:17Z,CUKJSV8gEH0,2358,210,22,2024-11-26
NEW 마법사들도 참석 완! 2024 팬 페스티벌 비하인드📽 [위즈티비],2024-11-25T11:20:59Z,wfKBMfXpsNA,28416,923,203,2024-11-26
"99도까지는 누구나 가능하지. 100도부터 내 거란 말이야. 주루플레이, PFP, 포수 훈련 1인칭캠🎥 [2024 마무리캠프]",2024-11-24T09:00:36Z,YJEwNHblWKg,12719,412,29,2024-11-26
2024 kt wiz FAN FESTIVAL [LIVE],2024-11-23T11:09:41Z,aX5CjyMG8_s,55494,912,63,2024-11-26
[릴레이댄스] kt wiz 2024 팬 페스티벌,2024-11-23T09:30:23Z,3VXRviNMaaU,15404,574,65,2024-11-26
"""현진이 형 상대해 보고 싶습니다"" 마법사가 된 장진혁 [위즈티비]",2024-11-22T12:29:33Z,fSnEXkVua3I,79160,2617,968,2024-11-26
감독님이 지켜보고 계셔👀 투수조 불펜 피칭 [2024 마무리캠프],2024-11-20T09:01:00Z,yvFOytRR2KM,30115,719,114,2024-11-26
Welcome 한승주! 수원에서 야구 오래 하도록 하겠습니다 [위즈티비],2024-11-19T11:43:07Z,5KEzFvR8p48,40882,1694,425,2024-11-26
국제 할리갈리 법(?)에 어긋나거든요? 24동기들과 방구석 위즈오락실🎮 [2024 마무리캠프],2024-11-18T09:00:00Z,-ku4TqLaFjc,13370,567,62,2024-11-26
너 누구야?! 야구 잘해? 신인즈의 일본 마무리캠프 신고식 [2024 마무리캠프],2024-11-16T09:30:15Z,U8OycmWoN3I,32706,886,108,2024-11-26
올해의 명장면상 후보⭐ [2024 Fan Festival Awards],2024-11-15T06:00:36Z,uUoFdZrzt9M,7409,296,99,2024-11-26
올해의 기량발전상 후보⭐ [2024 Fan Festival Awards],2024-11-15T06:00:19Z,WSAF7YIkyKs,4419,181,50,2024-11-26
올해의 타자상 후보⭐ [2024 Fan Festival Awards],2024-11-15T06:00:14Z,LRo9SrKCrio,4306,193,45,2024-11-26
올해의 투수상 후보⭐ [2024 Fan Festival Awards],2024-11-15T06:00:09Z,LIwFAI3jY3c,4119,167,39,2024-11-26
올해의 선수상 후보⭐ [2024 Fan Festival Awards],2024-11-15T06:00:06Z,DdJWkiZz2pM,4552,188,58,2024-11-26
올해의 아이콘상 후보⭐ [2024 Fan Festival Awards],2024-11-15T06:00:01Z,4dZD4BPy1fE,4840,236,47,2024-11-26
대형준 피셜) 까불고 뺀질거리는데 할 건 다함. 본인 등판으로 알려드립니다 [위즈티비],2024-11-13T12:45:23Z,bE1sN8igOvw,82836,2829,512,2024-11-26
일본 와카야마에서 전하는 수능 응원 메시지✉ [위즈티비],2024-11-13T09:00:30Z,I_Bz2etFbxI,5620,377,46,2024-11-26
지금은 오전 10시 저희는 스트레칭을 하고 있습니다. 수원 왕자의 웜업캠🎥 [2024 마무리캠프],2024-11-10T09:00:41Z,fVSTJnHIImc,12871,567,69,2024-11-26
젤리 하나로도 행복해질 수 있습니다😋 #마무리캠프 #야수조 #젤리,2024-11-10T05:36:20Z,7nPseNY6FX4,18861,752,30,2024-11-26
상쑤를 춤추게 하는 남자🕺 #김상수 #허경민 #친구,2024-11-09T03:00:00Z,-8C433s_fn0,130579,4269,200,2024-11-26
Welcome 허경민! '전력 질주'로 왔습니다 [위즈티비],2024-11-08T12:51:13Z,xCs_mPP2DW8,73817,1644,697,2024-11-26
야구공 하나로 노는 법⚾️  #마무리캠프 #투수 #게임,2024-11-08T00:34:57Z,ExDInSM1W1o,7413,322,14,2024-11-26
2024 가을 야구도 위즈패밀리 응원단이 간다!📢 [WI벤트],2024-11-05T09:00:18Z,fD6SR2bJ_3c,8871,234,36,2024-11-26
마법사가 무한리필 되는 마운드가 있다? 2024 WBSC 프리미어 12 평가전🇰🇷 [위즈티비],2024-11-03T03:00:37Z,l__k454-k8s,47480,1284,260,2024-11-26
[대학생리포터] 처음 본 순간 나는 빠져버렸어 #티니핑 #신인선수 #루키,2024-11-01T10:35:05Z,8VJGjqUnnbM,11487,482,21,2024-11-26
[대학생리포터] 배경화면 퍼가요~♥️ #배경화면 #신인선수 #루키,2024-11-01T03:00:47Z,sO_h5-XJvqQ,6338,282,10,2024-11-26
부상 없이 캠프 마무리하는 게 목표입니다 [2024 마무리캠프],2024-10-30T09:00:05Z,3kzCaC_ya6I,16966,501,43,2024-11-26
내가 언제 무서웠냐고! 드디어 만난 강릉고 선후배 [2024 마무리캠프],2024-10-28T09:02:11Z,vRgrzBxqxmY,23860,693,64,2024-11-26
시간 참 빠르다... 세월이 야속했던 국대 예비 명단 첫 훈련🇰🇷 (ft. 쓱성한) [위즈티비],2024-10-26T09:00:55Z,zhNIsvGeWhc,51861,1306,159,2024-11-26
팬 여러분이 최고였습니다! 쿠에바스&데인#쿠에바스 #감사인사 #출국,2024-10-25T03:05:27Z,zUdPz9ANi44,14145,1225,62,2024-11-26
팬 여러분 감사합니다! 벤자민 #벤자민 #감사인사 #출국,2024-10-24T23:30:00Z,23EUO9nqaHo,8426,816,62,2024-11-26
팬 여러분 감사합니다! 로하스&크루&페넬로페 #로하스 #감사인사 #출국,2024-10-24T11:30:23Z,gY8tmBXC-I0,24042,2118,137,2024-11-26
정장이야? 캐쥬얼이야? 알다가도 모를 마캠 복장(?) 일본 마무리캠프 출국 현장✈ [2024 마무리캠프],2024-10-23T09:00:31Z,LBYQvu81vvA,24542,934,116,2024-11-26
마이쮸 나눠줄 것 같은 새 학기 분위기...🌸 직접 쓰는 미니 프로필 -야수편- [위즈티비],2024-10-21T09:30:26Z,dULK6PY876g,8666,372,50,2024-11-26
최초를 써 내려간 팬 여러분과 함께했던 가을의 마법사들 [위즈티비],2024-10-18T09:31:56Z,Mem9mCABMXY,16766,1481,178,2024-11-26
수학계가 놓친 암산 천재가 우리 팀에? 2025 신인들의 직접 쓰는 미니 프로필✏ -투수편- [위즈티비],2024-10-17T10:30:14Z,b_aGYtF1qsM,11886,550,58,2024-11-26
하나 되어 외치는 kt wiz! 야구하면 빠질 수 없는 이것은 무엇? [WI벤트],2024-10-10T11:30:18Z,GZZ-YMG-k_k,18806,669,59,2024-11-26
야구는 분위기 싸움이다 #강백호 #고영표,2024-10-10T03:00:36Z,iN2axibM0Wk,20533,1302,54,2024-11-26
우리에게 ‘내일’은 있다 [위즈덕후],2024-10-09T23:30:14Z,ZfVMp2fAzQw,53653,1811,366,2024-11-26
덕아웃 분위기 끌어올려 ↗↗↗↗↗ [비하인드 더 덕아웃],2024-10-09T19:20:45Z,zmPnO3DI2Fg,56517,1843,215,2024-11-26
0% 기적을 향한 치타심 끝내기 안타 ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ [위즈덕후],2024-10-09T10:56:57Z,QY8d6LMSh3A,40176,1689,242,2024-11-26
가을이 뜨거워지는 홈런🔥 #강백호 #문상철 #홈런,2024-10-09T09:52:09Z,yuPnGT0u7UM,13399,998,40,2024-11-26
산책을 산책이라 하지 못하는 천길동.. 뭉치 브이로그 커밍쑨?!🐶 [WIZIP],2024-10-07T09:30:27Z,nQDkSClsos0,21080,815,107,2024-11-26
오늘부터 kt wiz와 지지관계에서 벗어나 kt wiz와 나는 한몸으로 일체가 된다 [위즈덕후],2024-10-05T23:30:07Z,XpSOAS8lteM,33923,1390,161,2024-11-26
마냥 안 된다는 법은 없으니까 [비하인드 더 덕아웃],2024-10-05T17:57:14Z,CAgSOKfPwpE,31396,1314,169,2024-11-26
kt wiz의 2025 뉴 마법사들 등장! 응원가쯤은 기본 장착한 신인 입단식🎵[위즈티비],2024-10-04T09:29:49Z,uE2xckvymIs,31441,970,111,2024-11-26
최초 업셋이 왜 안 나왔는지 알아요? 우리가 5등을 안 해봤기 때문이에요 [위즈덕후],2024-10-03T23:30:02Z,AsQtW-oP1tE,56980,2269,351,2024-11-26
