title,PublishedAt,ID,views,likes,comments,Last_updated_Date
#LG트윈스 오스틴 2024 KBO 리그 수비상 수상 소감🎉,2024-11-26T09:27:54Z,6cl3m9yNO4Y,909,226,14,2024-11-26
#LG트윈스 트윈스 최초! 오스틴 2024 KBO 리그 타점상 수상 소감🎉,2024-11-26T09:27:44Z,lzBY6ZyY84o,461,168,5,2024-11-26
이 케미 조금 신선할지도?!👀 LOVE Giving Day 현장 비하인드 [엘코더],2024-11-25T09:00:52Z,p0AhAPcw51s,17112,792,64,2024-11-26
#LG트윈스 25루키들의 스타성 췌↗️크,2024-11-23T09:00:40Z,_wMG2A_OtDo,15218,772,19,2024-11-26
25 루키들의 심상치 않은 무대 장악력..😅 | LOVE Giving Day 장기 자랑 비하인드 [엘코더],2024-11-21T09:00:57Z,vx473Xhxw9o,23173,903,88,2024-11-26
지옥 훈련 최종_최최종.mp4 마무리 캠프 훈련 스케치 [엘코더],2024-11-20T09:01:03Z,wTjTh1EJY0U,22936,773,59,2024-11-26
설렘과 긴장으로 가득했던 우리의 처음✨ [엘코더],2024-11-19T10:26:12Z,qRCHOTTolr4,22294,1228,126,2024-11-26
이렇게 가까워져도 되나요...? 😇 LOVE Giving Day 현장 스케치 [엘코더],2024-11-18T09:00:02Z,1eXwSzdAIXA,53018,1674,170,2024-11-26
우리 집 철부지들의 불붙은 외모 대결🤦‍♂️ [엘코더],2024-11-17T10:23:24Z,vkY7175D7AU,60384,2292,312,2024-11-26
[2024 LOVE Giving Day] 마음만은 우리 선수들도 함께💌,2024-11-16T11:44:47Z,Nv0xB_Uc_P8,18376,822,37,2024-11-26
2024 LOVE giving day,2024-11-16T08:58:06Z,ca4wrirXJlY,71073,1149,26,2024-11-26
#LG트윈스 도토리 트윈스의 키재기🌰,2024-11-16T07:02:56Z,0iX0PjQgDJ4,33441,1570,49,2024-11-26
#LG트윈스 햄주장의 종신 엘지 선언🙌,2024-11-16T07:00:56Z,GPBH7ggnf8g,41119,1965,95,2024-11-26
부필리에서 말아주는 밸런스 게임🩵✨ [부필리에서 생긴 일],2024-11-15T09:00:36Z,Qjr3E9b5CGA,15625,712,69,2024-11-26
#LG트윈스 이게 바로 Gen Z 트윈스🙌,2024-11-15T05:25:30Z,Uij0kDdrjSE,37689,1742,55,2024-11-26
너〰무 화목해요🌼 마무리 캠프 투수조 훈련 스케치 [엘코더],2024-11-14T09:01:03Z,zgwbgqPB6xM,26727,922,75,2024-11-26
