title,PublishedAt,ID,views,likes,comments,Last_updated_Date
베어스의 뉴페이스 '제이크 케이브' 인사드립니다🙇‍♂️,2024-11-26T08:00:26Z,dLAOX1ebWhA,4880,636,53,2024-11-26
"[BPD직캠] Sexy Guys (2025 신인 주양준, 박민제, 박연준, 양재훈) 직캠  'I'm so sexy' | @BearsTV_2024.11.24",2024-11-25T13:01:08Z,sNup9dXOkb4,8470,401,58,2024-11-26
"[BPD직캠] DTS (2025 신인 김성재, 황희천, 홍민규, 최민석, 이선우, 박준순) 직캠  '붐바스틱' | @BearsTV_2024.11.24",2024-11-25T13:00:41Z,WQFs29DxqXs,6765,233,21,2024-11-26
"[BPD직캠] DAY3 (2025 신인 김준상, 김한중, 김지윤) 직캠  'Welcome to the Show' | @BearsTV_2024.11.24",2024-11-25T13:00:24Z,MZfxE1fpc-g,5792,278,35,2024-11-26
[BPD직캠] 최우혁 (2025 신인) 직캠  '붉은노을' | @BearsTV_2024.11.24,2024-11-25T13:00:10Z,6DfyhQDCzH4,6165,273,27,2024-11-26
"[BPD직캠] 못말리는 신인 (2025 신인 연서준, 김민호, 한다현) 직캠  '잘자요 아가씨' | @BearsTV_2024.11.24",2024-11-25T13:00:03Z,3KVSrWBOkpE,5849,326,19,2024-11-26
잘 다녀오겠습니다🫡 | 김동주&임서준&강태완 입대,2024-11-25T12:17:30Z,F8U68rsJhcM,14356,696,86,2024-11-26
2024 곰들의 모임 (11.24),2024-11-24T07:39:10Z,pt190RCg7LU,101737,1093,122,2024-11-26
2024 곰들의 모임 (11.24),2024-11-24T07:28:24Z,gmi4h5v-0oA,0,0,0,2024-11-26
한걸음 더 나아가기 위해 불태운 2024 마무리캠프 종료 🔚 (11.23),2024-11-23T23:00:05Z,IHmakgx8QxQ,34652,959,124,2024-11-26
⛔️고막 주의🍯 류현준 첫안타 공약 이행🎤 (feat.MC THE MAX),2024-11-23T09:38:46Z,uqDLYy1eWro,18117,1220,91,2024-11-26
“덕분에 감사했고 사랑했습니다” 정철원&전민재의 마지막 인사 (11.22),2024-11-22T17:00:06Z,fOubt8pdYho,169048,4078,1017,2024-11-26
