title,PublishedAt,ID,URL,views,likes,comments,Last_updated_Date
[미공개영상] 선수들에게 N년 전 영상을 보여줬더니 (+ 커피차),2024-11-25 18:42,z3Fw5_alYZo,https://www.youtube.com/watch?v=z3Fw5_alYZo,18902,1762,115,2024-11-25
90년대생만 아는 노래? 노래만으로도 즐거운 챔필 훈련장 🎶,2024-11-24 17:08,MT9NIdXLzDY,https://www.youtube.com/watch?v=MT9NIdXLzDY,84767,2743,194,2024-11-25
'KIA 옷 입은 강효종' 영상으로 전하는 첫 인사,2024-11-21 18:15,FnaQT05MLsc,https://www.youtube.com/watch?v=FnaQT05MLsc,123158,5611,742,2024-11-25
‘700만 조회수' 구독자들의 최애♥ 콘텐츠는? [무인갸메라],2024-11-20 17:55,YT_WpB8PTGY,https://www.youtube.com/watch?v=YT_WpB8PTGY,68285,2463,216,2024-11-25
전속력으로 오키나와 언덕 질주하는 영상 ｜김태형 김민주 김현수 PD,2024-11-19 19:30,cYs8YIDrzaA,https://www.youtube.com/watch?v=cYs8YIDrzaA,65442,1907,149,2024-11-25
이곳이 바로 펑고 지옥 😇 (positive),2024-11-18 18:15,226yd9Ks6eI,https://www.youtube.com/watch?v=226yd9Ks6eI,65706,1744,155,2024-11-25
카리나 김태형?,2024-11-17 17:56,o3-CSzNoeks,https://www.youtube.com/watch?v=o3-CSzNoeks,65444,2542,66,2024-11-25
투수 앞으로 공이 굴러왔다면? Pitchers Fielding Practice | 2024 오키나와 마무리캠프,2024-11-17 17:55,lWKIqLxc4CI,https://www.youtube.com/watch?v=lWKIqLxc4CI,68423,1870,93,2024-11-25
매일 화이트보드에 선수들이 적는 것 | 2024 오키나와 마무리캠프,2024-11-16 20:00,1xXqFq3AHrM,https://www.youtube.com/watch?v=1xXqFq3AHrM,41227,1586,59,2024-11-25
"신인 김태형의 마무리캠프｜포수 이상준과 불펜 피칭, 친해지고 싶은 선배?",2024-11-16 11:45,X_0_SeOtJ_E,https://www.youtube.com/watch?v=X_0_SeOtJ_E,82717,2402,109,2024-11-25
타이거즈로 돌아온 김주찬 코치 | 2024 오키나와 마무리캠프,2024-11-13 18:30,UhN-itGTg_M,https://www.youtube.com/watch?v=UhN-itGTg_M,170957,4294,375,2024-11-25
"캄캄한 밤, 오키나와에 울려퍼진 타격 소리🔥｜2024 오키나와 마무리캠프",2024-11-13 17:55,4DxdypxmxiM,https://www.youtube.com/watch?v=4DxdypxmxiM,105590,2877,240,2024-11-25
‘중계로는 볼 수 없음’ 2024 한국시리즈 외장하드 털이,2024-11-10 19:40,riTtE0QzuVc,https://www.youtube.com/watch?v=riTtE0QzuVc,159231,4345,381,2024-11-25
삐끼삐끼 추는 법,2024-11-06 18:20,4b5zAzpPqT8,https://www.youtube.com/watch?v=4b5zAzpPqT8,64885,2472,46,2024-11-25
삐끼삐끼 추는 2025 신인 1라운드 김태형 (PD) 입단식 브이로그!,2024-11-06 18:14,DpXh9QyiYpM,https://www.youtube.com/watch?v=DpXh9QyiYpM,101105,3291,291,2024-11-25
‘무한 재생될 우리의 불패신화’ 2024 기아타이거즈 한국시리즈 우승 하이라이트,2024-11-03 22:45,Hac_l6kFO6M,https://www.youtube.com/watch?v=Hac_l6kFO6M,129693,5883,424,2024-11-25
팬들이 영원히 이범호 감독 응원가를 불러,2024-11-03 20:52,a54D1ng3EvE,https://www.youtube.com/watch?v=a54D1ng3EvE,96188,5268,73,2024-11-25
"프리미어12 국대 타이거즈 훈련 첫 날 🇰🇷 | 갸티비 만나 반가운 선수들, 전상현 섹시투수 피드 비하인드, 야유회 단체사진 공개",2024-11-02 18:07,guITorBdnyk,https://www.youtube.com/watch?v=guITorBdnyk,223129,6296,450,2024-11-25
"시구자가 무려 김응룡, 제이홉, 박신혜?",2024-10-31 20:27,_BgsYZsRtg8,https://www.youtube.com/watch?v=_BgsYZsRtg8,71809,2566,56,2024-11-25
우승했잖아 한잔해~🍾🍷🍸  [2024 우승 기념 축승회],2024-10-31 17:45,zGj0S6Ph3Rg,https://www.youtube.com/watch?v=zGj0S6Ph3Rg,432953,9994,980,2024-11-25
'챔필이 들썩였다' 한국시리즈 5차전 열광의 응원 현장,2024-10-30 22:35,Vjc0V-rVzlA,https://www.youtube.com/watch?v=Vjc0V-rVzlA,74725,3506,227,2024-11-25
기아 선수가 춥니다 ‘외쳐라 최강기아’,2024-10-30 21:55,3d5QQPepEBM,https://www.youtube.com/watch?v=3d5QQPepEBM,80131,4981,65,2024-11-25
'꼬부기가 한가득' 광란의 2024 우승 샴페인 세리머니 🍾,2024-10-30 19:53,VhWQyt0-F7k,https://www.youtube.com/watch?v=VhWQyt0-F7k,172022,5227,356,2024-11-25
'현장감 MAX' 고프로 출동! [2024 한국시리즈 우승 시상식],2024-10-30 10:20,3Tw7Gi9X1jw,https://www.youtube.com/watch?v=3Tw7Gi9X1jw,175778,6171,431,2024-11-25
"압도했다, 기아타이거즈! 통합우승 달성의 순간! 🏆 [KS 5차전 챔필덕관]",2024-10-29 15:47,OCWJSLuaCbM,https://www.youtube.com/watch?v=OCWJSLuaCbM,317020,9727,827,2024-11-25
2024 한국시리즈 우승콜,2024-10-29 02:48,CWDAbmIgfvA,https://www.youtube.com/watch?v=CWDAbmIgfvA,201351,10712,183,2024-11-25
"[KIA TVC] 야구를 사랑하는 모두에게, 기아타이거즈 V12",2024-10-29 01:21,H-9337JrF3c,https://www.youtube.com/watch?v=H-9337JrF3c,91288,6768,351,2024-11-25
🏆 우승팀 누구? 🏆 ｜한국시리즈 5차전 하이라이트,2024-10-29 01:18,aRrteDRC3kQ,https://www.youtube.com/watch?v=aRrteDRC3kQ,196742,5245,424,2024-11-25
"좋아요 11,000개 받은 우승 엠블럼 라인업송",2024-10-27 14:33,LUet73aVdm4,https://www.youtube.com/watch?v=LUet73aVdm4,179278,11972,310,2024-11-25
"김태군: ""광주에서 트로피 들겠습니다"" 🏆｜한국시리즈 4차전 덕관",2024-10-27 11:57,SNLJ3lywnAI,https://www.youtube.com/watch?v=SNLJ3lywnAI,262627,7314,531,2024-11-25
영상으로만 봐도 장관인 홀짝 응원,2024-10-27 01:23,8s6fl1K7j_4,https://www.youtube.com/watch?v=8s6fl1K7j_4,162143,7677,225,2024-11-25
4차전도 이겼다!!!!!!! 승리 직후 선수들 반응,2024-10-26 22:51,LoXa7FXWw_Q,https://www.youtube.com/watch?v=LoXa7FXWw_Q,212737,6710,557,2024-11-25
인생 첫 만루홈런을 한국시리즈에서 때린 선수,2024-10-26 19:09,L6dXyyQBv8o,https://www.youtube.com/watch?v=L6dXyyQBv8o,277593,14866,384,2024-11-25
"네일 승리투수, 김태군 만루포, 테스 4타점! | 한국시리즈 4차전 하이라이트",2024-10-26 18:58,mZX2ule1wsI,https://www.youtube.com/watch?v=mZX2ule1wsI,161061,4445,436,2024-11-25
상대팀에서 보는 응원은 이렇게 압도적입니다 | KS 1차전 응원캠,2024-10-24 22:15,PyMeWBrsMEo,https://www.youtube.com/watch?v=PyMeWBrsMEo,191008,6370,492,2024-11-25
'2024년에도 양현종' KS 우승 확률 90% 🏆｜한국시리즈 2차전 챔필덕관,2024-10-24 19:07,houfuekJk_U,https://www.youtube.com/watch?v=houfuekJk_U,144803,4662,418,2024-11-25
1차전 분위기 전상현이 바꿨다!｜한국시리즈 1차전 챔필덕관,2024-10-24 12:49,qMuKwY0Yub8,https://www.youtube.com/watch?v=qMuKwY0Yub8,178730,5204,577,2024-11-25
2차전도 이겼다!!!!! 승리 직후 선수들 반응,2024-10-24 00:01,fcm1a_s9cuY,https://www.youtube.com/watch?v=fcm1a_s9cuY,158940,5155,414,2024-11-25
하루 2경기 전승! 🔥｜한국시리즈 2차전 하이라이트,2024-10-23 23:22,C-ug7Gc9268,https://www.youtube.com/watch?v=C-ug7Gc9268,106344,3077,293,2024-11-25
우리가 누구? 최강기아 🥇 ｜한국시리즈 1차전 하이라이트,2024-10-23 19:41,ZDJlEieZpeM,https://www.youtube.com/watch?v=ZDJlEieZpeM,118011,3299,284,2024-11-25
1차전 이겼다!!!!!!!!!!! 승리 직후 선수들 반응,2024-10-23 18:57,IQEVXN7ZzJc,https://www.youtube.com/watch?v=IQEVXN7ZzJc,105374,4508,287,2024-11-25
D-day🔥🏆 한국시리즈에 임하는 선수들의 출사표,2024-10-21 00:00,7Thu4r7OWFo,https://www.youtube.com/watch?v=7Thu4r7OWFo,103048,5056,753,2024-11-25
’우승하러 갑시다!‘ 2024 한국시리즈 미디어데이 현장,2024-10-20 23:31,lNaCjm-WDr8,https://www.youtube.com/watch?v=lNaCjm-WDr8,114340,4146,382,2024-11-25
KIA 타이거즈 2024 한국시리즈 엔트리 🏆,2024-10-20 15:33,4WvdoRQosAc,https://www.youtube.com/watch?v=4WvdoRQosAc,115344,4741,727,2024-11-25
'KIA 이겨라!' 10월 19일 자체 연습경기 하이라이트,2024-10-20 11:24,lEt31uLFhEg,https://www.youtube.com/watch?v=lEt31uLFhEg,147794,3014,205,2024-11-25
오늘자 김두현 우취 슬라이딩 (을 몇번 했을까요),2024-10-18 21:01,mqTtfaVM_oE,https://www.youtube.com/watch?v=mqTtfaVM_oE,64763,2354,165,2024-11-25
양현종 최다 탈삼진 기념 유니폼 출시! 👑,2024-10-17 14:00,EAxPI1mUFkQ,https://www.youtube.com/watch?v=EAxPI1mUFkQ,78593,2303,481,2024-11-25
한국시리즈 대비 연습경기 하이라이트 vs 롯데 자이언츠 241014,2024-10-15 07:50,-EinUqMsDCU,https://www.youtube.com/watch?v=-EinUqMsDCU,180964,3852,413,2024-11-25
"나야, 트리플J.. 장현식 전상현 정해영 챔필 신메뉴 맛보다!",2024-10-14 19:00,2NKeX9YNL0Y,https://www.youtube.com/watch?v=2NKeX9YNL0Y,134258,4578,414,2024-11-25
한국시리즈 대비 기아타이거즈 응원가 모음집 (2024년 10월 최신 ver.),2024-10-14 08:17,QH7DYaRnXMg,https://www.youtube.com/watch?v=QH7DYaRnXMg,163262,4211,377,2024-11-25
"한국시리즈 D-10, 오늘도 내일도 훈련은 계속된다",2024-10-11 19:00,1efcEMM4ll4,https://www.youtube.com/watch?v=1efcEMM4ll4,129586,3306,1343,2024-11-25
김도영 30홈런 30도루 기념 유니폼 촬영 현장,2024-10-10 14:22,EfxioiJhApw,https://www.youtube.com/watch?v=EfxioiJhApw,113579,3032,667,2024-11-25
한국시리즈 대비 연습경기 하이라이트 vs 상무 피닉스,2024-10-10 08:40,JAKY-5n0kso,https://www.youtube.com/watch?v=JAKY-5n0kso,281841,5198,429,2024-11-25
"저녁밥 친구 ‘타격 훈련’ 도착 💌 (DAY6 원필이 나성범에게 푹 빠진 장면, 윤도현이 외야에 간 이유 등 공개)",2024-10-08 18:10,Y2HpFIqdhfg,https://www.youtube.com/watch?v=Y2HpFIqdhfg,170070,4525,355,2024-11-25
🥇 1등 팀에게 올해 가장 기억에 남는 경기는?,2024-10-07 18:30,RMtv6b5PZ9M,https://www.youtube.com/watch?v=RMtv6b5PZ9M,174845,4998,591,2024-11-25
"'한 구 한 구 더 탄탄하게!' 내야수, 외야수, 포수조 수비 훈련",2024-10-06 21:05,OYOHUxqXees,https://www.youtube.com/watch?v=OYOHUxqXees,158271,4271,304,2024-11-25
“기대됩니다” 투수들의 훈련 첫 날 현장,2024-10-05 20:32,zHPbzn82bm0,https://www.youtube.com/watch?v=zHPbzn82bm0,187208,4684,364,2024-11-25
한국시리즈 대비 훈련 계획 (일부만) 공개!,2024-10-04 23:56,RrCz6HO5tzM,https://www.youtube.com/watch?v=RrCz6HO5tzM,134702,4712,352,2024-11-25
내 구위 어떤데,2024-10-02 19:01,qNFyBwe0Rpk,https://www.youtube.com/watch?v=qNFyBwe0Rpk,59557,1782,35,2024-11-25
'공 美쳤다..' KBO 우승팀 구위왕은 누구? [무인갸메라/광고],2024-10-02 18:30,sApul0TltNg,https://www.youtube.com/watch?v=sApul0TltNg,209985,4808,330,2024-11-25
야없날 첫날.. 괜찮아.. 딩딩딩딩딩..😭.. NCT WISH 시구 비하인드,2024-10-01 16:00,ppQnLcdSWV0,https://www.youtube.com/watch?v=ppQnLcdSWV0,138798,8061,337,2024-11-25
다음 경기 안내: 한국시리즈 1차전 🏆｜ 9월 30일 KIA vs NC 챔필덕관,2024-10-01 12:15,Oh_HpDS_fKg,https://www.youtube.com/watch?v=Oh_HpDS_fKg,83776,2747,261,2024-11-25
